Theta_crit, run, delta, gamma, resilient, task_result
0.9,1,0,1,NOT RESILIENT,DONE
0.9,2,0,1,NOT RESILIENT,DONE
0.9,3,0,1,NOT RESILIENT,DONE
0.9,4,0,1,NOT RESILIENT,DONE
0.9,5,1,1,RESILIENT,DONE
0.9,6,0,1,NOT RESILIENT,DONE
0.9,7,0,1,NOT RESILIENT,DONE
0.9,8,0,1,NOT RESILIENT,DONE
0.9,9,0,1,NOT RESILIENT,DONE
0.9,10,0,1,NOT RESILIENT,DONE
0.9,11,0,1,NOT RESILIENT,DONE
0.9,12,0,1,NOT RESILIENT,DONE
0.9,13,0,1,NOT RESILIENT,DONE
0.9,14,0,1,NOT RESILIENT,DONE
0.9,15,0,1,NOT RESILIENT,DONE
0.9,16,0,1,NOT RESILIENT,DONE
0.9,17,0,1,NOT RESILIENT,DONE
0.9,18,0,1,NOT RESILIENT,DONE
0.9,19,0,1,NOT RESILIENT,DONE
0.9,20,0,1,NOT RESILIENT,DONE
-----------------------------
0.85,1,0,1,NOT RESILIENT,DONE
0.85,1,0,1,NOT RESILIENT,DONE
0.85,1,1,1,RESILIENT,DONE
0.85,1,1,1,RESILIENT,DONE
