time,delta
4.32,1
4.86,1
4.9,1
4.93,1
4.96,1
4.99,1
5.02,1
5.06,1
5.09,1
5.12,1
5.15,1
5.18,1
5.22,1
5.25,1
5.28,1
5.31,1
5.34,1
5.38,1
5.41,1
5.44,1
5.47,1
5.5,1
5.54,1
5.57,1
5.6,1
5.63,1
5.66,1
5.7,1
5.73,1
5.76,1
5.79,1
5.82,1
5.86,1
5.89,1
5.92,1
5.95,1
5.98,1
6.02,1
6.05,1
6.08,1
6.11,1
6.14,1
6.18,1
6.21,1
6.24,1
6.27,1
6.3,1
6.34,1
6.37,1
6.4,1
6.43,1
6.46,1
6.5,1
6.53,1
6.56,1
6.59,1
6.62,1
6.66,1
6.69,1
6.72,1
6.75,1
6.78,1
6.82,1
6.85,1
6.88,1
6.91,1
6.94,1
6.98,1
7.01,1
7.04,1
7.07,1
7.1,1
7.14,1
7.17,1
7.2,1
7.23,0
7.26,0
7.3,0
7.33,0
7.36,0
7.39,0
7.42,0
7.46,0
7.49,0
7.52,0
7.55,0
7.58,0
7.62,0
7.65,0
7.68,0
7.71,0
7.74,0
7.78,0
7.81,0
7.84,0
7.87,0
7.9,0
7.94,0
7.97,0
8.0,0
8.03,0
8.06,0
8.1,0
8.13,0
8.16,0
8.19,0
8.22,0
8.26,0
8.29,0
8.32,0
8.35,0
8.38,0
8.42,0
8.45,0
8.48,0
8.51,0
8.54,0
8.58,0
8.61,0
8.64,0
8.67,0
8.7,0
8.74,0
8.77,0
8.8,0
8.83,0
8.86,0
8.9,0
8.93,0
8.96,0
8.99,0
9.02,0
9.06,0
9.09,0
9.12,0
9.15,0
9.18,0
9.22,0
9.25,0
9.28,0
9.31,0
9.34,0
9.38,0
9.41,0
9.44,0
9.47,0
9.5,0
9.54,0
9.57,0
9.6,0
9.63,0
9.66,0
9.7,0
9.73,0
9.76,0
9.79,0
9.82,0
9.86,0
9.89,0
9.92,0
9.95,0
9.98,0
10.02,0
10.05,0
10.08,0
10.11,0
10.14,0
10.18,0
10.21,0
10.24,0
10.27,0
10.3,0
10.34,0
10.37,0
10.4,0
10.43,0
10.46,0
10.5,0
10.53,0
10.56,0
10.59,0
10.62,0
10.66,0
10.69,0
10.72,0
10.75,0
10.78,0
10.82,0
10.85,0
10.88,0
10.91,0
10.94,0
10.98,0
11.01,0
11.04,0
11.07,0
11.1,0
11.14,0
11.17,0
11.2,0
11.23,0
11.26,0
11.3,0
11.33,0
11.36,0
11.39,0
11.42,0
11.46,0
11.49,0
11.52,0
11.55,0
11.58,0
11.62,0
11.65,0
11.68,0
11.71,0
11.74,0
11.78,0
11.81,0
11.84,0
11.87,0
11.9,0
11.94,0
11.97,0
12.0,0
