detection_rate,delta,gamma,resilient,result,theta_base,theta_crit,alpha_base,psi,devices
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.9231163463866358,{left_wheels}
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.9231163463866358,{left_wheels}
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.9231163463866358,{left_wheels}
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.9231163463866358,{right_wheels}
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8521437889662113,"{left_wheels,right_wheels}"
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8521437889662113,"{left_wheels,right_wheels}"
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8521437889662113,"{left_wheels,right_wheels}"
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8521437889662113,"{left_wheels,right_wheels}"
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8521437889662113,"{left_wheels,right_wheels}"
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8521437889662113,"{left_wheels,right_wheels}"
0.9,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.9231163463866358,{left_wheels}
