detection_rate,delta,gamma,resilient,result,theta_base,theta_crit,alpha_base,psi,devices
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{left_wheels}
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{left_wheels}
0.8,0,0,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.7408182206817179,"{left_wheels,right_wheels}"
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{left_wheels}
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
0.8,0,1,NOT RESILIENT,HALTED,0.5,0.8,0.04,0.8607079764250578,{right_wheels}
