k,theta_crit,alpha_crit,psi,gamma,delta,resilient
1,0.00,0.3,0.7,1,0,RESILIENT
1,0.05,0.3,0.7,1,0,RESILIENT
1,0.10,0.3,0.7,1,0,RESILIENT
1,0.15,0.3,0.7,1,0,RESILIENT
1,0.20,0.3,0.7,1,0,RESILIENT
1,0.25,0.3,0.7,1,0,RESILIENT
1,0.30,0.3,0.7,1,0,RESILIENT
1,0.35,0.3,0.7,1,0,RESILIENT
1,0.40,0.3,0.7,1,0,RESILIENT
1,0.45,0.3,0.7,1,0,RESILIENT
1,0.50,0.3,0.7,1,0,RESILIENT
1,0.55,0.3,0.7,1,0,RESILIENT
1,0.60,0.3,0.7,1,0,RESILIENT
1,0.65,0.3,0.7,1,0,RESILIENT
1,0.70,0.3,0.7,1,0,RESILIENT
1,0.75,0.3,0.7,0,0,NOT_RESILIENT
1,0.80,0.3,0.7,0,0,NOT_RESILIENT
1,0.85,0.3,0.7,0,0,NOT_RESILIENT
1,0.90,0.3,0.7,0,0,NOT_RESILIENT
1,0.95,0.3,0.7,0,0,NOT_RESILIENT
1,1.00,0.3,0.7,0,0,NOT_RESILIENT

2,0.00,0.3,0.4,1,0,RESILIENT
2,0.05,0.3,0.4,1,0,RESILIENT
2,0.10,0.3,0.4,1,0,RESILIENT
2,0.15,0.3,0.4,1,0,RESILIENT
2,0.20,0.3,0.4,1,0,RESILIENT
2,0.25,0.3,0.4,1,0,RESILIENT
2,0.30,0.3,0.4,1,0,RESILIENT
2,0.35,0.3,0.4,1,0,RESILIENT
2,0.40,0.3,0.4,1,0,RESILIENT
2,0.45,0.3,0.4,0,0,NOT_RESILIENT
2,0.50,0.3,0.4,0,0,NOT_RESILIENT
2,0.55,0.3,0.4,0,0,NOT_RESILIENT
2,0.60,0.3,0.4,0,0,NOT_RESILIENT
2,0.65,0.3,0.4,0,0,NOT_RESILIENT
2,0.70,0.3,0.4,0,0,NOT_RESILIENT
2,0.75,0.3,0.4,0,0,NOT_RESILIENT
2,0.80,0.3,0.4,0,0,NOT_RESILIENT
2,0.85,0.3,0.4,0,0,NOT_RESILIENT
2,0.90,0.3,0.4,0,0,NOT_RESILIENT
2,0.95,0.3,0.4,0,0,NOT_RESILIENT
2,1.00,0.3,0.4,0,0,NOT_RESILIENT

3,0.00,0.3,0.1,1,0,RESILIENT
3,0.05,0.3,0.1,1,0,RESILIENT
3,0.10,0.3,0.1,1,0,RESILIENT
3,0.15,0.3,0.1,0,0,NOT_RESILIENT
3,0.20,0.3,0.1,0,0,NOT_RESILIENT
3,0.25,0.3,0.1,0,0,NOT_RESILIENT
3,0.30,0.3,0.1,0,0,NOT_RESILIENT
3,0.35,0.3,0.1,0,0,NOT_RESILIENT
3,0.40,0.3,0.1,0,0,NOT_RESILIENT
3,0.45,0.3,0.1,0,0,NOT_RESILIENT
3,0.50,0.3,0.1,0,0,NOT_RESILIENT
3,0.55,0.3,0.1,0,0,NOT_RESILIENT
3,0.60,0.3,0.1,0,0,NOT_RESILIENT
3,0.65,0.3,0.1,0,0,NOT_RESILIENT
3,0.70,0.3,0.1,0,0,NOT_RESILIENT
3,0.75,0.3,0.1,0,0,NOT_RESILIENT
3,0.80,0.3,0.1,0,0,NOT_RESILIENT
3,0.85,0.3,0.1,0,0,NOT_RESILIENT
3,0.90,0.3,0.1,0,0,NOT_RESILIENT
3,0.95,0.3,0.1,0,0,NOT_RESILIENT
3,1.00,0.3,0.1,0,0,NOT_RESILIENT

4,0.00,0.3,0.0,0,0,NOT_RESILIENT
4,0.05,0.3,0.0,0,0,NOT_RESILIENT
4,0.10,0.3,0.0,0,0,NOT_RESILIENT
4,0.15,0.3,0.0,0,0,NOT_RESILIENT
4,0.20,0.3,0.0,0,0,NOT_RESILIENT
4,0.25,0.3,0.0,0,0,NOT_RESILIENT
4,0.30,0.3,0.0,0,0,NOT_RESILIENT
4,0.35,0.3,0.0,0,0,NOT_RESILIENT
4,0.40,0.3,0.0,0,0,NOT_RESILIENT
4,0.45,0.3,0.0,0,0,NOT_RESILIENT
4,0.50,0.3,0.0,0,0,NOT_RESILIENT
4,0.55,0.3,0.0,0,0,NOT_RESILIENT
4,0.60,0.3,0.0,0,0,NOT_RESILIENT
4,0.65,0.3,0.0,0,0,NOT_RESILIENT
4,0.70,0.3,0.0,0,0,NOT_RESILIENT
4,0.75,0.3,0.0,0,0,NOT_RESILIENT
4,0.80,0.3,0.0,0,0,NOT_RESILIENT
4,0.85,0.3,0.0,0,0,NOT_RESILIENT
4,0.90,0.3,0.0,0,0,NOT_RESILIENT
4,0.95,0.3,0.0,0,0,NOT_RESILIENT
4,1.00,0.3,0.0,0,0,NOT_RESILIENT

5,0.00,0.3,0.0,0,0,NOT_RESILIENT
5,0.05,0.3,0.0,0,0,NOT_RESILIENT
