detection_rate,delta,gamma,resilient,result,theta_base,alpha_base,psi
0.9,0,1,NOT RESILIENT,DONE,0.0,0.0,0.6000000000000001
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,0,1,NOT RESILIENT,DONE,0.0,0.0,0.6000000000000001
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,0,1,NOT RESILIENT,HALTED,0.0,0.0,0.6000000000000001
1.0,0,1,NOT RESILIENT,DONE,0.0,0.0,0.6000000000000001
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,1,1,RESILIENT,DONE,0.0,0.0,1
1.0,0,1,NOT RESILIENT,DONE,0.0,0.0,0.6000000000000001
