detection_rate,delta,gamma,resilient,result,time,degradation,devices
0.8,0,1,NOT RESILIENT,DONE,27.0,16.1,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,32.1,37.8,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,31.5,35.1,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,23.9,2.6,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,25.1,7.7,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,32.9,41.3,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,26.6,14.1,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,32.1,37.8,"{LW}"
0.8,1,1,RESILIENT,DONE,25.9,11.0,"{}"
0.8,1,1,RESILIENT,DONE,31.7,36.0,"{}"
0.8,0,1,NOT RESILIENT,DONE,30.9,32.7,"{LW}"
0.8,1,1,RESILIENT,DONE,39.2,68.1,"{}"
0.8,1,1,RESILIENT,DONE,31.1,33.6,"{}"
0.8,0,1,NOT RESILIENT,DONE,35.5,52.4,"{LW}"
0.8,1,1,RESILIENT,DONE,39.0,67.3,"{}"
0.8,0,1,NOT RESILIENT,DONE,25.5,9.6,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,29.0,24.6,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,26.5,13.7,"{LW}"
0.8,1,1,RESILIENT,DONE,23.5,0.7,"{}"
0.8,0,1,NOT RESILIENT,DONE,36.4,56.2,"{LW}"
