detection_rate,delta,gamma,resilient,result,time,degradation,devices
0.8,0,1,NOT RESILIENT,DONE,35.5,52.3,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,25.4,9.2,"{RW}"
0.8,0,1,NOT RESILIENT,DONE,39.0,67.4,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,37.5,60.8,"{RW}"
0.8,0,1,NOT RESILIENT,DONE,32.0,37.3,"{LW}"
0.8,1,1,RESILIENT,DONE,33.5,43.7,"{}"
0.8,0,1,NOT RESILIENT,DONE,27.4,17.7,"{LW}"
0.8,0,1,NOT RESILIENT,DONE,28.0,20.2,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,24.7,6.0,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,35.6,53.0,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,36.9,58.4,"{RW}"
0.8,0,1,NOT RESILIENT,DONE,31.9,36.8,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,27.8,19.3,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,32.7,40.5,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,31.5,35.1,"{RW}"
0.8,0,1,NOT RESILIENT,DONE,30.5,31.0,"{RW}"
0.8,1,1,RESILIENT,DONE,40.0,71.8,"{}"
0.8,0,1,NOT RESILIENT,DONE,37.3,60.1,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,25.3,8.8,"{RW,LW}"
0.8,0,1,NOT RESILIENT,DONE,41.6,78.4,"{RW,LW}"
